"","X","Y","Symbol"
"Eif3c","12.929251","-1.412536e-01","Eif3c"
"Eif3c","12.015005","-4.822915e-02","Eif3c"
"Kpna2","12.964036"," 7.212429e-02","Kpna2"
"Tyrp1"," 4.287176"," 4.791425e-01","Tyrp1"
"Tyrp1"," 3.784043","-5.039968e-02","Tyrp1"
"Eif4g2","13.401218","-1.090336e-01","Eif4g2"
"Bpgm","10.154184"," 9.684633e-02","Bpgm"
"Bpgm"," 9.955848"," 8.394696e-03","Bpgm"
"Unc45a"," 8.282421","-2.283643e-01","Unc45a"
"Cct4","12.958860","-5.334226e-02","Cct4"
"Cct4"," 7.708148","-2.022850e-01","Cct4"
"Trim28","12.462974","-3.468407e-01","Trim28"
"Calu","11.368840","-9.298387e-02","Calu"
"Tgfbi"," 9.995733"," 1.001918e+00","Tgfbi"
"Hnrnph1","13.211922","-5.489635e-02","Hnrnph1"
"Actr1a","10.458243","-2.107079e-01","Actr1a"
"Spry1"," 8.754416","-7.233178e-01","Spry1"
"NA"," 5.174639"," 5.857481e-01","NA"
"Rps26","14.313428","-2.801190e-02","Rps26"
"Dpysl3"," 9.291230","-1.503979e-01","Dpysl3"
"Rrm1","12.707936","-1.389127e-01","Rrm1"
"Rplp2","14.655637","-4.613080e-02","Rplp2"
"Lamp1","11.559366"," 3.352880e-02","Lamp1"
"Ghitm","10.046385","-1.785746e-01","Ghitm"
"Ghitm","11.195724"," 1.935624e-01","Ghitm"
"Cela3b"," 5.279527"," 7.574931e-02","Cela3b"
"Cela3b"," 7.167945","-2.226426e-02","Cela3b"
"Chgb"," 5.181591"," 4.372352e-01","Chgb"
"Sh2d3c"," 7.970339"," 7.220345e-02","Sh2d3c"
"Tfg","11.125246","-3.566353e-02","Tfg"
"Hdgf","12.086298","-8.168232e-02","Hdgf"
"Hsp90b1","13.224399","-7.226868e-02","Hsp90b1"
"Papss1","11.374727"," 2.163258e-02","Papss1"
"Suclg1","11.698225"," 7.004683e-02","Suclg1"
"Sgpl1"," 9.139604","-3.242533e-01","Sgpl1"
"Sgpl1"," 5.676195"," 1.750925e-01","Sgpl1"
"Enpp2"," 7.556724","-7.666621e-01","Enpp2"
"NA","10.331616"," 8.823808e-02","NA"
"NA"," 9.707438"," 3.480404e-02","NA"
"Mgst1","10.585615"," 3.072815e-01","Mgst1"
"Mgst1"," 3.885963","-9.276285e-02","Mgst1"
"Junb"," 4.729033"," 2.460333e-01","Junb"
"Kit"," 5.707677"," 4.634962e-03","Kit"
"Plod3"," 8.787870","-3.127440e-01","Plod3"
"Aldh7a1"," 4.407576","-2.750407e-01","Aldh7a1"
"Slc38a1"," 9.497471","-4.165713e-01","Slc38a1"
"Lpl","10.058024","-1.779459e-01","Lpl"
"Reg1"," 4.750152"," 1.636262e-01","Reg1"
"Tmsb4x","13.745772"," 1.495921e-01","Tmsb4x"
